Title, Address, Latitude, Longitude
Royal Blue Grocery, 51 Rainey St #120, Austin, TX 78701, United States, 30.2572284, -97.7391249
Trader Joe's, 211 Walter Seaholm Dr Ste 100, Austin, TX 78701, United States, 30.2674966, -97.7527899
Royal Blue Grocery, The 360 Tower, 360 Nueces St #90, Austin, TX 78701, United States, 30.2677373, -97.74955369999999
The Bee Grocery, 1001 E 6th St, Austin, TX 78702, United States, 30.2649183, -97.73244919999999
Royal Blue Grocery, 301 Brazos St suite 110 suite 110, Austin, TX 78701, United States, 30.26497539999999, -97.74196459999999
Whole Foods Market, 525 N Lamar Blvd, Austin, TX 78703, United States, 30.2705496, -97.7531762
Royal Blue Grocery, 609 Congress Ave, Austin, TX 78701, United States, 30.268323, -97.74224699999999
Royal Blue, 241 W 3rd St, Austin, TX 78701, United States, 30.2657008, -97.7460431
Austin SuperMarket, 30 S IH 35 Frontage Rd, Austin, TX 78701, United States, 30.25450859999999, -97.7372688
Whole Foods Market, 901 E 5th St Ste 100, Austin, TX 78702, United States, 30.2639948, -97.7338841
Mini Mart, 231 E 6th St, Austin, TX 78701, United States, 30.2674362, -97.7405886
Wheatsville Food Co-op, 3101 Guadalupe St, Austin, TX 78705, United States, 30.2975583, -97.7410694
Thom's Market - Riverside, 160 E Riverside Dr, Austin, TX 78704, United States, 30.2556737, -97.744906
Shop 24, 213 E 6th St, Austin, TX 78701, United States, 30.267259, -97.741001
Central Market, 4001 N Lamar Blvd, Austin, TX 78756, United States, 30.3076098, -97.73987609999999
West Campus Market, 709 W 22nd St STE 200, Austin, TX 78705, United States, 30.2852075, -97.7464206
Fresh Plus Grocery, 2401 San Gabriel St, Austin, TX 78705, United States, 30.2883133, -97.74767059999999
Thom's Market - Barton Springs, 1418 Barton Springs Rd, Austin, TX 78704, United States, 30.2616099, -97.75965099999999
Rio Mart, 2101 Rio Grande St # 1002, Austin, TX 78705, United States, 30.2841403, -97.7449358
The Bee Grocery, 209 E 6th St, Austin, TX 78701, United States, 30.26744429999999, -97.7410835
